bits,i,size,MSH,t1,MMP,t2,PMP,t3
3,0,10000000,129.1565,35000000,628.2612,32500000,1344.4909,40000000
3,1,10000000,135.2425,35000000,665.7232,32500000,1433.5275,40000000
3,2,10000000,129.7434,35000000,655.0978,32500000,1390.4833,40000000
3,3,10000000,128.2764,35000000,641.2107,32500000,1341.2709,40000000
3,4,10000000,125.0815,35000000,636.5429,32500000,1367.3904,40000000
3,5,10000000,127.9064,35000000,626.3428,32500000,1337.6814,40000000
3,6,10000000,131.5591,35000000,622.0212,32500000,1352.3194,40000000
3,7,10000000,128.9012,35000000,634.1802,32500000,1370.2378,40000000
3,8,10000000,125.6515,35000000,636.3616,32500000,1361.2606,40000000
3,9,10000000,131.3262,35000000,632.4434,32500000,1327.175,40000000
3,10,10000000,124.6326,35000000,671.4001,32500000,1355.4497,40000000
3,11,10000000,128.9924,35000000,657.075,32500000,1387.5482,40000000
3,12,10000000,127.0766,35000000,629.4397,32500000,1356.3748,40000000
3,13,10000000,123.5818,35000000,638.7953,32500000,1322.479,40000000
3,14,10000000,127.4221,35000000,611.8124,32500000,1304.3332,40000000
3,15,10000000,123.5011,35000000,765.9529,32500000,1621.6493,40000000
3,16,10000000,169.6666,35000000,818.9648,32500000,1555.992,40000000
3,17,10000000,137.5003,35000000,691.0311,32500000,1511.832,40000000
3,18,10000000,138.3064,35000000,634.9031,32500000,1681.931,40000000
3,19,10000000,123.5196,35000000,601.9192,32500000,1286.3438,40000000
3,20,10000000,127.3549,35000000,602.0547,32500000,1254.6979,40000000
3,21,10000000,122.6935,35000000,598.2898,32500000,1258.9898,40000000
3,22,10000000,120.69,35000000,588.8595,32500000,1263.8175,40000000
3,23,10000000,120.8332,35000000,591.1893,32500000,1266.1974,40000000
3,24,10000000,118.4193,35000000,590.3014,32500000,1259.2799,40000000
3,25,10000000,120.4977,35000000,590.4527,32500000,1256.6422,40000000
3,26,10000000,121.9336,35000000,590.5434,32500000,1259.4286,40000000
3,27,10000000,123.8684,35000000,595.7665,32500000,1257.9601,40000000
3,28,10000000,118.0515,35000000,596.5199,32500000,1266.2853,40000000
3,29,10000000,116.2249,35000000,595.7114,32500000,1266.8563,40000000
3,30,10000000,117.5039,35000000,594.097,32500000,1257.7737,40000000
3,31,10000000,120.2463,35000000,589.9784,32500000,1260.749,40000000
3,32,10000000,142.3165,35000000,594.1141,32500000,1264.5515,40000000
3,33,10000000,116.7318,35000000,596.7383,32500000,1263.3471,40000000
3,34,10000000,118.0247,35000000,599.5281,32500000,1262.8618,40000000
3,35,10000000,116.0392,35000000,595.6069,32500000,1257.9754,40000000
3,36,10000000,121.9789,35000000,594.6837,32500000,1257.8731,40000000
3,37,10000000,122.5994,35000000,591.4984,32500000,1262.4019,40000000
3,38,10000000,116.4654,35000000,597.1516,32500000,1262.8457,40000000
3,39,10000000,119.5886,35000000,597.513,32500000,1274.1863,40000000
3,40,10000000,124.617,35000000,606.324,32500000,1265.5337,40000000
3,41,10000000,120.998,35000000,596.837,32500000,1267.6422,40000000
3,42,10000000,115.9642,35000000,605.8468,32500000,1258.7331,40000000
3,43,10000000,119.4201,35000000,592.6442,32500000,1265.8903,40000000
3,44,10000000,117.0309,35000000,592.8569,32500000,1261.7589,40000000
