bits,i,size,MSH,S_MSH,MMP,S_MMP,PMP,S_PMP
3,0,10000000,276.3944,1388889444452,797.9043,1388889444452,1447.4846,1388889444452
3,1,10000000,282.5367,1388889444452,799.3459,1388889444452,1460.2416,1388889444452
3,2,10000000,281.5692,1388889444452,799.3893,1388889444452,1442.2609,1388889444452
3,3,10000000,282.3125,1388889444452,794.5032,1388889444452,1456.4133,1388889444452
3,4,10000000,276.8841,1388889444452,804.22,1388889444452,1445.691,1388889444452
3,5,10000000,276.9637,1388889444452,811.5184,1388889444452,1451.7872,1388889444452
3,6,10000000,278.2605,1388889444452,806.7861,1388889444452,1457.4107,1388889444452
3,7,10000000,276.8487,1388889444452,796.4499,1388889444452,1456.5028,1388889444452
3,8,10000000,276.4796,1388889444452,826.4229,1388889444452,1559.535,1388889444452
3,9,10000000,331.8609,1388889444452,828.4156,1388889444452,1498.1369,1388889444452
3,10,10000000,278.0286,1388889444452,821.4061,1388889444452,1579.0994,1388889444452
3,11,10000000,277.1705,1388889444452,815.2358,1388889444452,1474.3767,1388889444452
3,12,10000000,274.6746,1388889444452,815.224,1388889444452,1548.8528,1388889444452
3,13,10000000,300.8545,1388889444452,848.5253,1388889444452,1548.8497,1388889444452
3,14,10000000,310.1666,1388889444452,834.5971,1388889444452,1485.4917,1388889444452
3,15,10000000,290.2279,1388889444452,906.6307,1388889444452,1529.4209,1388889444452
3,16,10000000,286.5908,1388889444452,880.0653,1388889444452,1477.9917,1388889444452
3,17,10000000,292.0076,1388889444452,817.98,1388889444452,1493.9229,1388889444452
3,18,10000000,292.3321,1388889444452,879.3574,1388889444452,1521.5498,1388889444452
3,19,10000000,287.1366,1388889444452,816.4512,1388889444452,1504.7675,1388889444452
3,20,10000000,280.668,1388889444452,817.2514,1388889444452,1499.2388,1388889444452
3,21,10000000,280.6064,1388889444452,811.792,1388889444452,1505.1598,1388889444452
3,22,10000000,302.5879,1388889444452,833.984,1388889444452,1499.8947,1388889444452
3,23,10000000,283.0791,1388889444452,809.834,1388889444452,1464.4988,1388889444452
3,24,10000000,284.92,1388889444452,818.4175,1388889444452,1507.4721,1388889444452
3,25,10000000,283.4117,1388889444452,807.0705,1388889444452,1529.4942,1388889444452
3,26,10000000,281.8345,1388889444452,817.7294,1388889444452,1511.7444,1388889444452
3,27,10000000,288.4138,1388889444452,848.3328,1388889444452,1533.4285,1388889444452
3,28,10000000,282.0824,1388889444452,835.8328,1388889444452,1508.8476,1388889444452
3,29,10000000,281.8324,1388889444452,848.5419,1388889444452,1538.7892,1388889444452
3,30,10000000,287.9876,1388889444452,823.3702,1388889444452,1496.2243,1388889444452
3,31,10000000,285.3177,1388889444452,810.2964,1388889444452,1514.2574,1388889444452
3,32,10000000,288.7376,1388889444452,827.9223,1388889444452,1501.4699,1388889444452
3,33,10000000,293.6913,1388889444452,854.9272,1388889444452,1522.7784,1388889444452
3,34,10000000,285.4745,1388889444452,826.4064,1388889444452,1490.946,1388889444452
3,35,10000000,290.1896,1388889444452,817.5295,1388889444452,1539.4221,1388889444452
3,36,10000000,296.2291,1388889444452,812.1214,1388889444452,1545.99,1388889444452
3,37,10000000,294.941,1388889444452,853.3043,1388889444452,1472.1792,1388889444452
3,38,10000000,279.2202,1388889444452,808.2959,1388889444452,1513.1373,1388889444452
3,39,10000000,291.4699,1388889444452,880.4775,1388889444452,1502.1161,1388889444452
3,40,10000000,289.1966,1388889444452,819.3078,1388889444452,1597.1133,1388889444452
3,41,10000000,292.28,1388889444452,849.3768,1388889444452,1551.7499,1388889444452
3,42,10000000,289.9318,1388889444452,869.0754,1388889444452,1548.1471,1388889444452
3,43,10000000,302.6642,1388889444452,813.2463,1388889444452,1503.2835,1388889444452
3,44,10000000,299.4313,1388889444452,867.3214,1388889444452,1556.7552,1388889444452
3,45,10000000,288.3384,1388889444452,858.5517,1388889444452,1518.3345,1388889444452
3,46,10000000,293.5884,1388889444452,827.7023,1388889444452,1496.5028,1388889444452
3,47,10000000,289.5015,1388889444452,852.6006,1388889444452,1636.8379,1388889444452
3,48,10000000,332.1511,1388889444452,909.3805,1388889444452,1504.6316,1388889444452
3,49,10000000,297.6671,1388889444452,815.543,1388889444452,1501.2825,1388889444452
3,50,10000000,290.0036,1388889444452,829.2429,1388889444452,1502.632,1388889444452
3,51,10000000,289.5442,1388889444452,828.5802,1388889444452,1502.1458,1388889444452
3,52,10000000,290.2995,1388889444452,822.8329,1388889444452,1481.3545,1388889444452
3,53,10000000,309.7794,1388889444452,842.3406,1388889444452,1534.4458,1388889444452
3,54,10000000,292.9804,1388889444452,821.8279,1388889444452,1489.87,1388889444452
3,55,10000000,286.4662,1388889444452,828.7946,1388889444452,1512.1558,1388889444452
3,56,10000000,287.17,1388889444452,847.4468,1388889444452,1552.3962,1388889444452
3,57,10000000,307.3765,1388889444452,820.6558,1388889444452,1550.7797,1388889444452
3,58,10000000,294.7053,1388889444452,864.5979,1388889444452,1582.4725,1388889444452
3,59,10000000,294.1363,1388889444452,832.9788,1388889444452,1499.7562,1388889444452
3,60,10000000,285.46,1388889444452,815.9935,1388889444452,1541.5251,1388889444452
3,61,10000000,285.122,1388889444452,932.5283,1388889444452,1540.4473,1388889444452
3,62,10000000,287.0954,1388889444452,836.7131,1388889444452,1507.2456,1388889444452
3,63,10000000,287.7251,1388889444452,816.1726,1388889444452,1477.5304,1388889444452
3,64,10000000,320.3311,1388889444452,852.2283,1388889444452,1518.7587,1388889444452
3,65,10000000,402.621,1388889444452,1047.4239,1388889444452,1933.1558,1388889444452
3,66,10000000,293.219,1388889444452,833.9635,1388889444452,1579.2709,1388889444452
3,67,10000000,320.4629,1388889444452,912.1993,1388889444452,1567.1644,1388889444452
3,68,10000000,284.8291,1388889444452,831.9242,1388889444452,1654.6516,1388889444452
3,69,10000000,300.1149,1388889444452,827.0686,1388889444452,1513.2065,1388889444452
3,70,10000000,311.8773,1388889444452,854.3055,1388889444452,1520.2746,1388889444452
3,71,10000000,290.3739,1388889444452,829.8674,1388889444452,1502.7693,1388889444452
3,72,10000000,295.8296,1388889444452,831.552,1388889444452,1487.352,1388889444452
3,73,10000000,284.2632,1388889444452,828.9578,1388889444452,1581.3918,1388889444452
3,74,10000000,296.2435,1388889444452,914.8478,1388889444452,1594.2438,1388889444452
3,75,10000000,294.7769,1388889444452,850.285,1388889444452,1573.024,1388889444452
3,76,10000000,286.8941,1388889444452,898.7934,1388889444452,1636.9748,1388889444452
3,77,10000000,325.7501,1388889444452,856.627,1388889444452,1548.9411,1388889444452
3,78,10000000,290.7591,1388889444452,884.1691,1388889444452,1584.9569,1388889444452
3,79,10000000,295.4418,1388889444452,842.4866,1388889444452,1614.6399,1388889444452
3,80,10000000,300.8156,1388889444452,818.4705,1388889444452,1469.2318,1388889444452
3,81,10000000,290.5108,1388889444452,811.81,1388889444452,1480.0303,1388889444452
3,82,10000000,292.8517,1388889444452,813.7565,1388889444452,1496.0851,1388889444452
3,83,10000000,285.5976,1388889444452,831.2352,1388889444452,1496.6205,1388889444452
3,84,10000000,288.33,1388889444452,819.2003,1388889444452,1489.4343,1388889444452
3,85,10000000,306.3307,1388889444452,814.5515,1388889444452,1486.6619,1388889444452
3,86,10000000,288.6487,1388889444452,817.225,1388889444452,1472.2258,1388889444452
3,87,10000000,294.8049,1388889444452,818.8656,1388889444452,1486.6451,1388889444452
3,88,10000000,293.306,1388889444452,813.5282,1388889444452,1476.5056,1388889444452
3,89,10000000,279.6663,1388889444452,819.6525,1388889444452,1456.5022,1388889444452
3,90,10000000,283.5467,1388889444452,811.5621,1388889444452,1471.0816,1388889444452
3,91,10000000,283.9579,1388889444452,811.6605,1388889444452,1461.6775,1388889444452
3,92,10000000,285.1589,1388889444452,826.8778,1388889444452,1461.4914,1388889444452
3,93,10000000,294.6125,1388889444452,816.9308,1388889444452,1458.3583,1388889444452
3,94,10000000,279.0906,1388889444452,802.0771,1388889444452,1453.9145,1388889444452
3,95,10000000,285.1112,1388889444452,815.0263,1388889444452,1453.8926,1388889444452
3,96,10000000,285.2267,1388889444452,801.4821,1388889444452,1467.864,1388889444452
3,97,10000000,284.984,1388889444452,800.178,1388889444452,1443.6297,1388889444452
3,98,10000000,291.2405,1388889444452,813.0391,1388889444452,1447.0642,1388889444452
3,99,10000000,281.0914,1388889444452,799.1145,1388889444452,1459.0558,1388889444452
4,0,10000000,265.1756,694444722236,831.8747,694444722236,1518.5331,694444722236
4,1,10000000,283.053,694444722236,823.3532,694444722236,1483.8062,694444722236
4,2,10000000,272.4811,694444722236,811.3306,694444722236,1485.0831,694444722236
4,3,10000000,275.1152,694444722236,825.998,694444722236,1470.9692,694444722236
4,4,10000000,269.0802,694444722236,818.7516,694444722236,1479.1475,694444722236
4,5,10000000,267.4048,694444722236,843.8461,694444722236,1483.5022,694444722236
4,6,10000000,277.8804,694444722236,813.7477,694444722236,1479.3759,694444722236
4,7,10000000,272.4788,694444722236,814.1167,694444722236,1472.382,694444722236
4,8,10000000,276.2608,694444722236,817.9651,694444722236,1474.5403,694444722236
4,9,10000000,268.1288,694444722236,828.7029,694444722236,1476.6036,694444722236
4,10,10000000,274.1432,694444722236,807.5014,694444722236,1466.6238,694444722236
4,11,10000000,265.833,694444722236,814.3193,694444722236,1482.9833,694444722236
4,12,10000000,272.5624,694444722236,810.8799,694444722236,1468.7398,694444722236
4,13,10000000,268.6432,694444722236,820.6791,694444722236,1487.1704,694444722236
4,14,10000000,276.1345,694444722236,825.5905,694444722236,1480.8015,694444722236
4,15,10000000,281.7296,694444722236,814.1055,694444722236,1488.9983,694444722236
4,16,10000000,267.306,694444722236,812.5918,694444722236,1468.5373,694444722236
4,17,10000000,266.2038,694444722236,821.1734,694444722236,1495.8442,694444722236
4,18,10000000,275.4447,694444722236,826.431,694444722236,1477.3997,694444722236
4,19,10000000,281.7545,694444722236,812.7894,694444722236,1468.9632,694444722236
4,20,10000000,272.9203,694444722236,814.568,694444722236,1468.6366,694444722236
4,21,10000000,270.4117,694444722236,814.9231,694444722236,1467.5714,694444722236
4,22,10000000,268.4967,694444722236,816.3552,694444722236,1491.0191,694444722236
4,23,10000000,276.7009,694444722236,814.305,694444722236,1475.4463,694444722236
4,24,10000000,269.9841,694444722236,814.9733,694444722236,1482.4763,694444722236
4,25,10000000,268.0675,694444722236,829.3164,694444722236,1474.3033,694444722236
4,26,10000000,275.706,694444722236,812.9812,694444722236,1470.2301,694444722236
4,27,10000000,269.1501,694444722236,811.7565,694444722236,1492.0067,694444722236
4,28,10000000,270.7379,694444722236,810.18,694444722236,1468.464,694444722236
4,29,10000000,269.1949,694444722236,818.1055,694444722236,1477.6565,694444722236
4,30,10000000,265.7478,694444722236,821.0693,694444722236,1483.9256,694444722236
4,31,10000000,279.278,694444722236,808.1794,694444722236,1481.6621,694444722236
