bits,i,size,S,X,Stime,Xtime
1,0,10000000,18446744071579648372,35160804,1485.3104,1449.9536
1,1,10000000,18446744071579648372,4,1468.5102,1473.2077
1,2,10000000,18446744071579648372,4,1454.5749,1462.8942
1,3,10000000,18446744071579648372,35160804,1499.8242,1472.8822
1,4,10000000,18446744071579648372,18446744071579648372,1467.8799,1446.8018
1,5,10000000,18446744071579648372,18446744071579648372,1466.6423,1445.2136
1,6,10000000,18446744071579648372,4,1477.1153,1449.5165
1,7,10000000,18446744071579648372,4,1483.9257,1464.8036
1,8,10000000,18446744071579648372,35160804,1472.1292,1448.316
1,9,10000000,18446744071579648372,4,1467.7718,1457.9571
1,10,10000000,18446744071579648372,4,1468.7982,1473.9965
1,11,10000000,18446744071579648372,4,1458.1202,1440.778
1,12,10000000,18446744071579648372,35160804,1463.5917,1450.8625
1,13,10000000,18446744071579648372,18446744071579648372,1455.601,1449.1417
1,14,10000000,18446744071579648372,4,1464.0808,1460.1558
1,15,10000000,18446744071579648372,18446744071579648372,1456.6708,1447.3999
1,16,10000000,18446744071579648372,4,1463.8885,1445.3723
1,17,10000000,18446744071579648372,18446744071579648372,1467.566,1453.5636
1,18,10000000,18446744071579648372,18446744071579648372,1463.4106,1452.0046
1,19,10000000,18446744071579648372,18446744071579648372,1462.7691,1454.2655
1,20,10000000,18446744071579648372,4,1476.4298,1456.1897
1,21,10000000,18446744071579648372,4,1466.0396,1458.6548
1,22,10000000,18446744071579648372,35160804,1469.0053,1459.1795
1,23,10000000,18446744071579648372,18446744071579648372,1463.7388,1457.4037
1,24,10000000,18446744071579648372,4,1471.3478,1450.4424
1,25,10000000,18446744071579648372,4,1468.3979,1457.7442
1,26,10000000,18446744071579648372,35160804,1472.3287,1454.0353
1,27,10000000,18446744071579648372,18446744071579648372,1452.2333,1459.7247
1,28,10000000,18446744071579648372,35160804,1467.5055,1452.8513
1,29,10000000,18446744071579648372,18446744071579648372,1456.8361,1465.4885
1,30,10000000,18446744071579648372,35160804,1464.8911,1455.4631
1,31,10000000,18446744071579648372,4,1461.4881,1449.3132
1,32,10000000,18446744071579648372,4,1469.0309,1449.9016
1,33,10000000,18446744071579648372,18446744071579648372,1460.3834,1447.5452
1,34,10000000,18446744071579648372,35160804,1483.2727,1459.0057
1,35,10000000,18446744071579648372,4,1465.0273,1456.475
1,36,10000000,18446744071579648372,18446744071579648372,1477.0285,1457.8478
1,37,10000000,18446744071579648372,4,1485.3318,1453.609
1,38,10000000,18446744071579648372,35160804,1469.6874,1456.4174
1,39,10000000,18446744071579648372,35160804,1471.9658,1452.0324
1,40,10000000,18446744071579648372,18446744071579648372,1482.6465,1442.9769
1,41,10000000,18446744071579648372,4,1478.4883,1454.2364
1,42,10000000,18446744071579648372,35160804,1469.2599,1458.6881
1,43,10000000,18446744071579648372,4,1475.0449,1452.8786
1,44,10000000,18446744071579648372,18446744071579648372,1474.3227,1458.368
1,45,10000000,18446744071579648372,18446744071579648372,1464.4615,1481.6997
1,46,10000000,18446744071579648372,4,1496.1018,1453.0108
1,47,10000000,18446744071579648372,4,1483.1599,1469.855
1,48,10000000,18446744071579648372,18446744071579648372,1472.7069,1462.2747
1,49,10000000,18446744071579648372,18446744071579648372,1467.6913,1485.4749
1,50,10000000,18446744071579648372,18446744071579648372,1463.2286,1461.5424
1,51,10000000,18446744071579648372,4,1492.2351,1459.8393
1,52,10000000,18446744071579648372,4,1492.6572,1460.7083
1,53,10000000,18446744071579648372,18446744071579648372,1494.841,1473.1084
1,54,10000000,18446744071579648372,18446744071579648372,1459.5442,1466.5809
1,55,10000000,18446744071579648372,4,1490.8117,1478.221
1,56,10000000,18446744071579648372,18446744071579648372,1469.9305,1497.7925
1,57,10000000,18446744071579648372,4,1476.4023,1468.8413
1,58,10000000,18446744071579648372,4,1502.183,1470.4883
1,59,10000000,18446744071579648372,4,1462.6708,1454.0842
1,60,10000000,18446744071579648372,4,1494.7801,1447.64
1,61,10000000,18446744071579648372,4,1474.0557,1485.5808
1,62,10000000,18446744071579648372,35160804,1483.2742,1462.5177
1,63,10000000,18446744071579648372,18446744071579648372,1463.0761,1450.2851
1,64,10000000,18446744071579648372,18446744071579648372,1467.3119,1456.5936
1,65,10000000,18446744071579648372,35160804,1474.13,1452.8049
1,66,10000000,18446744071579648372,18446744071579648372,1468.9221,1478.8193
1,67,10000000,18446744071579648372,18446744071579648372,1459.2041,1485.7167
1,68,10000000,18446744071579648372,4,1486.2318,1466.7305
1,69,10000000,18446744071579648372,18446744071579648372,1482.007,1467.8558
1,70,10000000,18446744071579648372,35160804,1477.3687,1464.9527
1,71,10000000,18446744071579648372,18446744071579648372,1478.1677,1452.2254
1,72,10000000,18446744071579648372,18446744071579648372,1468.1743,1453.7075
1,73,10000000,18446744071579648372,18446744071579648372,1471.276,1461.2699
1,74,10000000,18446744071579648372,18446744071579648372,1461.978,1457.3626
1,75,10000000,18446744071579648372,18446744071579648372,1473.7235,1470.0471
1,76,10000000,18446744071579648372,18446744071579648372,1459.4065,1460.2282
1,77,10000000,18446744071579648372,35160804,1479.2351,1444.6042
1,78,10000000,18446744071579648372,18446744071579648372,1459.1062,1475.2004
1,79,10000000,18446744071579648372,18446744071579648372,1459.3415,1454.6528
1,80,10000000,18446744071579648372,35160804,1462.7688,1448.0135
1,81,10000000,18446744071579648372,35160804,1466.1762,1446.9975
1,82,10000000,18446744071579648372,18446744071579648372,1462.1575,1458.0942
1,83,10000000,18446744071579648372,4,1457.4203,1443.0036
1,84,10000000,18446744071579648372,18446744071579648372,1463.077,1457.4331
1,85,10000000,18446744071579648372,18446744071579648372,1462.7886,1444.8564
1,86,10000000,18446744071579648372,35160804,1468.6417,1445.9276
1,87,10000000,18446744071579648372,18446744071579648372,1450.9738,1451.2323
1,88,10000000,18446744071579648372,18446744071579648372,1462.9149,1459.1418
1,89,10000000,18446744071579648372,18446744071579648372,1459.6182,1447.0301
1,90,10000000,18446744071579648372,18446744071579648372,1461.6254,1452.2226
1,91,10000000,18446744071579648372,35160804,1460.6719,1452.8494
1,92,10000000,18446744071579648372,18446744071579648372,1461.1693,1448.0985
1,93,10000000,18446744071579648372,35160804,1466.9028,1443.0209
1,94,10000000,18446744071579648372,18446744071579648372,1453.3798,1445.5126
1,95,10000000,18446744071579648372,18446744071579648372,1451.9555,1440.5354
1,96,10000000,18446744071579648372,18446744071579648372,1460.6171,1452.4183
1,97,10000000,18446744071579648372,4,1467.0731,1452.5653
